Part,Algorithm,CostFunction,Heuristic,InitialState,Path,PathLength,Cost,NodesGenerated,NodesVisited
Parte3,A4,C1,H1,"[4, 1, 2, 0, 8, 6, 3, 7, 5]","[4, 1, 2, 0, 8, 6, 3, 7, 5]|[0, 1, 2, 4, 8, 6, 3, 7, 5]|[1, 0, 2, 4, 8, 6, 3, 7, 5]|[1, 8, 2, 4, 0, 6, 3, 7, 5]|[1, 8, 2, 4, 7, 6, 3, 0, 5]|[1, 8, 2, 4, 7, 6, 0, 3, 5]|[1, 8, 2, 0, 7, 6, 4, 3, 5]|[1, 8, 2, 7, 0, 6, 4, 3, 5]|[1, 0, 2, 7, 8, 6, 4, 3, 5]|[1, 2, 0, 7, 8, 6, 4, 3, 5]|[1, 2, 6, 7, 8, 0, 4, 3, 5]|[1, 2, 6, 7, 8, 5, 4, 3, 0]|[1, 2, 6, 7, 8, 5, 4, 0, 3]|[1, 2, 6, 7, 0, 5, 4, 8, 3]|[1, 2, 6, 7, 5, 0, 4, 8, 3]|[1, 2, 6, 7, 5, 3, 4, 8, 0]|[1, 2, 6, 7, 5, 3, 4, 0, 8]|[1, 2, 6, 7, 5, 3, 0, 4, 8]|[1, 2, 6, 0, 5, 3, 7, 4, 8]|[1, 2, 6, 5, 0, 3, 7, 4, 8]|[1, 2, 6, 5, 3, 0, 7, 4, 8]|[1, 2, 0, 5, 3, 6, 7, 4, 8]|[1, 0, 2, 5, 3, 6, 7, 4, 8]|[1, 3, 2, 5, 0, 6, 7, 4, 8]|[1, 3, 2, 5, 4, 6, 7, 0, 8]|[1, 3, 2, 5, 4, 6, 7, 8, 0]|[1, 3, 2, 5, 4, 0, 7, 8, 6]|[1, 3, 2, 5, 0, 4, 7, 8, 6]|[1, 0, 2, 5, 3, 4, 7, 8, 6]|[1, 2, 0, 5, 3, 4, 7, 8, 6]|[1, 2, 4, 5, 3, 0, 7, 8, 6]|[1, 2, 4, 5, 0, 3, 7, 8, 6]|[1, 2, 4, 0, 5, 3, 7, 8, 6]|[0, 2, 4, 1, 5, 3, 7, 8, 6]|[2, 0, 4, 1, 5, 3, 7, 8, 6]|[2, 4, 0, 1, 5, 3, 7, 8, 6]|[2, 4, 3, 1, 5, 0, 7, 8, 6]|[2, 4, 3, 1, 0, 5, 7, 8, 6]|[2, 0, 3, 1, 4, 5, 7, 8, 6]|[0, 2, 3, 1, 4, 5, 7, 8, 6]|[1, 2, 3, 0, 4, 5, 7, 8, 6]|[1, 2, 3, 4, 0, 5, 7, 8, 6]|[1, 2, 3, 4, 5, 0, 7, 8, 6]|[1, 2, 3, 4, 5, 6, 7, 8, 0]",44,86,1570,970
Parte3,A4,C2,H1,"[4, 1, 2, 0, 8, 6, 3, 7, 5]","[4, 1, 2, 0, 8, 6, 3, 7, 5]|[0, 1, 2, 4, 8, 6, 3, 7, 5]|[1, 0, 2, 4, 8, 6, 3, 7, 5]|[1, 8, 2, 4, 0, 6, 3, 7, 5]|[1, 8, 2, 4, 7, 6, 3, 0, 5]|[1, 8, 2, 4, 7, 6, 0, 3, 5]|[1, 8, 2, 0, 7, 6, 4, 3, 5]|[1, 8, 2, 7, 0, 6, 4, 3, 5]|[1, 0, 2, 7, 8, 6, 4, 3, 5]|[1, 2, 0, 7, 8, 6, 4, 3, 5]|[1, 2, 6, 7, 8, 0, 4, 3, 5]|[1, 2, 6, 7, 8, 5, 4, 3, 0]|[1, 2, 6, 7, 8, 5, 4, 0, 3]|[1, 2, 6, 7, 0, 5, 4, 8, 3]|[1, 2, 6, 7, 5, 0, 4, 8, 3]|[1, 2, 6, 7, 5, 3, 4, 8, 0]|[1, 2, 6, 7, 5, 3, 4, 0, 8]|[1, 2, 6, 7, 5, 3, 0, 4, 8]|[1, 2, 6, 0, 5, 3, 7, 4, 8]|[1, 2, 6, 5, 0, 3, 7, 4, 8]|[1, 2, 6, 5, 3, 0, 7, 4, 8]|[1, 2, 0, 5, 3, 6, 7, 4, 8]|[1, 0, 2, 5, 3, 6, 7, 4, 8]|[1, 3, 2, 5, 0, 6, 7, 4, 8]|[1, 3, 2, 5, 4, 6, 7, 0, 8]|[1, 3, 2, 5, 4, 6, 7, 8, 0]|[1, 3, 2, 5, 4, 0, 7, 8, 6]|[1, 3, 2, 5, 0, 4, 7, 8, 6]|[1, 0, 2, 5, 3, 4, 7, 8, 6]|[1, 2, 0, 5, 3, 4, 7, 8, 6]|[1, 2, 4, 5, 3, 0, 7, 8, 6]|[1, 2, 4, 5, 0, 3, 7, 8, 6]|[1, 2, 4, 0, 5, 3, 7, 8, 6]|[0, 2, 4, 1, 5, 3, 7, 8, 6]|[2, 0, 4, 1, 5, 3, 7, 8, 6]|[2, 4, 0, 1, 5, 3, 7, 8, 6]|[2, 4, 3, 1, 5, 0, 7, 8, 6]|[2, 4, 3, 1, 0, 5, 7, 8, 6]|[2, 0, 3, 1, 4, 5, 7, 8, 6]|[0, 2, 3, 1, 4, 5, 7, 8, 6]|[1, 2, 3, 0, 4, 5, 7, 8, 6]|[1, 2, 3, 4, 0, 5, 7, 8, 6]|[1, 2, 3, 4, 5, 0, 7, 8, 6]|[1, 2, 3, 4, 5, 6, 7, 8, 0]",44,108,1570,970
Parte3,A4,C3,H1,"[4, 1, 2, 0, 8, 6, 3, 7, 5]","[4, 1, 2, 0, 8, 6, 3, 7, 5]|[0, 1, 2, 4, 8, 6, 3, 7, 5]|[1, 0, 2, 4, 8, 6, 3, 7, 5]|[1, 8, 2, 4, 0, 6, 3, 7, 5]|[1, 8, 2, 4, 7, 6, 3, 0, 5]|[1, 8, 2, 4, 7, 6, 0, 3, 5]|[1, 8, 2, 0, 7, 6, 4, 3, 5]|[1, 8, 2, 7, 0, 6, 4, 3, 5]|[1, 0, 2, 7, 8, 6, 4, 3, 5]|[1, 2, 0, 7, 8, 6, 4, 3, 5]|[1, 2, 6, 7, 8, 0, 4, 3, 5]|[1, 2, 6, 7, 8, 5, 4, 3, 0]|[1, 2, 6, 7, 8, 5, 4, 0, 3]|[1, 2, 6, 7, 0, 5, 4, 8, 3]|[1, 2, 6, 7, 5, 0, 4, 8, 3]|[1, 2, 6, 7, 5, 3, 4, 8, 0]|[1, 2, 6, 7, 5, 3, 4, 0, 8]|[1, 2, 6, 7, 5, 3, 0, 4, 8]|[1, 2, 6, 0, 5, 3, 7, 4, 8]|[1, 2, 6, 5, 0, 3, 7, 4, 8]|[1, 2, 6, 5, 3, 0, 7, 4, 8]|[1, 2, 0, 5, 3, 6, 7, 4, 8]|[1, 0, 2, 5, 3, 6, 7, 4, 8]|[1, 3, 2, 5, 0, 6, 7, 4, 8]|[1, 3, 2, 5, 4, 6, 7, 0, 8]|[1, 3, 2, 5, 4, 6, 7, 8, 0]|[1, 3, 2, 5, 4, 0, 7, 8, 6]|[1, 3, 2, 5, 0, 4, 7, 8, 6]|[1, 0, 2, 5, 3, 4, 7, 8, 6]|[1, 2, 0, 5, 3, 4, 7, 8, 6]|[1, 2, 4, 5, 3, 0, 7, 8, 6]|[1, 2, 4, 5, 0, 3, 7, 8, 6]|[1, 2, 4, 0, 5, 3, 7, 8, 6]|[0, 2, 4, 1, 5, 3, 7, 8, 6]|[2, 0, 4, 1, 5, 3, 7, 8, 6]|[2, 4, 0, 1, 5, 3, 7, 8, 6]|[2, 4, 3, 1, 5, 0, 7, 8, 6]|[2, 4, 3, 1, 0, 5, 7, 8, 6]|[2, 0, 3, 1, 4, 5, 7, 8, 6]|[0, 2, 3, 1, 4, 5, 7, 8, 6]|[1, 2, 3, 0, 4, 5, 7, 8, 6]|[1, 2, 3, 4, 0, 5, 7, 8, 6]|[1, 2, 3, 4, 5, 0, 7, 8, 6]|[1, 2, 3, 4, 5, 6, 7, 8, 0]",44,107,1570,970
Parte3,A4,C4,H1,"[4, 1, 2, 0, 8, 6, 3, 7, 5]","[4, 1, 2, 0, 8, 6, 3, 7, 5]|[0, 1, 2, 4, 8, 6, 3, 7, 5]|[1, 0, 2, 4, 8, 6, 3, 7, 5]|[1, 8, 2, 4, 0, 6, 3, 7, 5]|[1, 8, 2, 4, 7, 6, 3, 0, 5]|[1, 8, 2, 4, 7, 6, 0, 3, 5]|[1, 8, 2, 0, 7, 6, 4, 3, 5]|[1, 8, 2, 7, 0, 6, 4, 3, 5]|[1, 0, 2, 7, 8, 6, 4, 3, 5]|[1, 2, 0, 7, 8, 6, 4, 3, 5]|[1, 2, 6, 7, 8, 0, 4, 3, 5]|[1, 2, 6, 7, 8, 5, 4, 3, 0]|[1, 2, 6, 7, 8, 5, 4, 0, 3]|[1, 2, 6, 7, 0, 5, 4, 8, 3]|[1, 2, 6, 7, 5, 0, 4, 8, 3]|[1, 2, 6, 7, 5, 3, 4, 8, 0]|[1, 2, 6, 7, 5, 3, 4, 0, 8]|[1, 2, 6, 7, 5, 3, 0, 4, 8]|[1, 2, 6, 0, 5, 3, 7, 4, 8]|[1, 2, 6, 5, 0, 3, 7, 4, 8]|[1, 2, 6, 5, 3, 0, 7, 4, 8]|[1, 2, 0, 5, 3, 6, 7, 4, 8]|[1, 0, 2, 5, 3, 6, 7, 4, 8]|[1, 3, 2, 5, 0, 6, 7, 4, 8]|[1, 3, 2, 5, 4, 6, 7, 0, 8]|[1, 3, 2, 5, 4, 6, 7, 8, 0]|[1, 3, 2, 5, 4, 0, 7, 8, 6]|[1, 3, 2, 5, 0, 4, 7, 8, 6]|[1, 0, 2, 5, 3, 4, 7, 8, 6]|[1, 2, 0, 5, 3, 4, 7, 8, 6]|[1, 2, 4, 5, 3, 0, 7, 8, 6]|[1, 2, 4, 5, 0, 3, 7, 8, 6]|[1, 2, 4, 0, 5, 3, 7, 8, 6]|[0, 2, 4, 1, 5, 3, 7, 8, 6]|[2, 0, 4, 1, 5, 3, 7, 8, 6]|[2, 4, 0, 1, 5, 3, 7, 8, 6]|[2, 4, 3, 1, 5, 0, 7, 8, 6]|[2, 4, 3, 1, 0, 5, 7, 8, 6]|[2, 0, 3, 1, 4, 5, 7, 8, 6]|[0, 2, 3, 1, 4, 5, 7, 8, 6]|[1, 2, 3, 0, 4, 5, 7, 8, 6]|[1, 2, 3, 4, 0, 5, 7, 8, 6]|[1, 2, 3, 4, 5, 0, 7, 8, 6]|[1, 2, 3, 4, 5, 6, 7, 8, 0]",44,129,1570,970
Parte3,A4,C1,H2,"[4, 1, 2, 0, 8, 6, 3, 7, 5]","[4, 1, 2, 0, 8, 6, 3, 7, 5]|[4, 1, 2, 3, 8, 6, 0, 7, 5]|[4, 1, 2, 3, 8, 6, 7, 0, 5]|[4, 1, 2, 3, 0, 6, 7, 8, 5]|[4, 1, 2, 0, 3, 6, 7, 8, 5]|[0, 1, 2, 4, 3, 6, 7, 8, 5]|[1, 0, 2, 4, 3, 6, 7, 8, 5]|[1, 2, 0, 4, 3, 6, 7, 8, 5]|[1, 2, 6, 4, 3, 0, 7, 8, 5]|[1, 2, 6, 4, 3, 5, 7, 8, 0]|[1, 2, 6, 4, 3, 5, 7, 0, 8]|[1, 2, 6, 4, 0, 5, 7, 3, 8]|[1, 2, 6, 4, 5, 0, 7, 3, 8]|[1, 2, 0, 4, 5, 6, 7, 3, 8]|[1, 0, 2, 4, 5, 6, 7, 3, 8]|[1, 5, 2, 4, 0, 6, 7, 3, 8]|[1, 5, 2, 4, 3, 6, 7, 0, 8]|[1, 5, 2, 4, 3, 6, 7, 8, 0]|[1, 5, 2, 4, 3, 0, 7, 8, 6]|[1, 5, 2, 4, 0, 3, 7, 8, 6]|[1, 0, 2, 4, 5, 3, 7, 8, 6]|[1, 2, 0, 4, 5, 3, 7, 8, 6]|[1, 2, 3, 4, 5, 0, 7, 8, 6]|[1, 2, 3, 4, 5, 6, 7, 8, 0]",24,46,656,392
Parte3,A4,C2,H2,"[4, 1, 2, 0, 8, 6, 3, 7, 5]","[4, 1, 2, 0, 8, 6, 3, 7, 5]|[4, 1, 2, 3, 8, 6, 0, 7, 5]|[4, 1, 2, 3, 8, 6, 7, 0, 5]|[4, 1, 2, 3, 0, 6, 7, 8, 5]|[4, 1, 2, 0, 3, 6, 7, 8, 5]|[0, 1, 2, 4, 3, 6, 7, 8, 5]|[1, 0, 2, 4, 3, 6, 7, 8, 5]|[1, 2, 0, 4, 3, 6, 7, 8, 5]|[1, 2, 6, 4, 3, 0, 7, 8, 5]|[1, 2, 6, 4, 3, 5, 7, 8, 0]|[1, 2, 6, 4, 3, 5, 7, 0, 8]|[1, 2, 6, 4, 0, 5, 7, 3, 8]|[1, 2, 6, 4, 5, 0, 7, 3, 8]|[1, 2, 0, 4, 5, 6, 7, 3, 8]|[1, 0, 2, 4, 5, 6, 7, 3, 8]|[1, 5, 2, 4, 0, 6, 7, 3, 8]|[1, 5, 2, 4, 3, 6, 7, 0, 8]|[1, 5, 2, 4, 3, 6, 7, 8, 0]|[1, 5, 2, 4, 3, 0, 7, 8, 6]|[1, 5, 2, 4, 0, 3, 7, 8, 6]|[1, 0, 2, 4, 5, 3, 7, 8, 6]|[1, 2, 0, 4, 5, 3, 7, 8, 6]|[1, 2, 3, 4, 5, 0, 7, 8, 6]|[1, 2, 3, 4, 5, 6, 7, 8, 0]",24,56,656,392
Parte3,A4,C3,H2,"[4, 1, 2, 0, 8, 6, 3, 7, 5]","[4, 1, 2, 0, 8, 6, 3, 7, 5]|[4, 1, 2, 3, 8, 6, 0, 7, 5]|[4, 1, 2, 3, 8, 6, 7, 0, 5]|[4, 1, 2, 3, 0, 6, 7, 8, 5]|[4, 1, 2, 0, 3, 6, 7, 8, 5]|[0, 1, 2, 4, 3, 6, 7, 8, 5]|[1, 0, 2, 4, 3, 6, 7, 8, 5]|[1, 2, 0, 4, 3, 6, 7, 8, 5]|[1, 2, 6, 4, 3, 0, 7, 8, 5]|[1, 2, 6, 4, 3, 5, 7, 8, 0]|[1, 2, 6, 4, 3, 5, 7, 0, 8]|[1, 2, 6, 4, 0, 5, 7, 3, 8]|[1, 2, 6, 4, 5, 0, 7, 3, 8]|[1, 2, 0, 4, 5, 6, 7, 3, 8]|[1, 0, 2, 4, 5, 6, 7, 3, 8]|[1, 5, 2, 4, 0, 6, 7, 3, 8]|[1, 5, 2, 4, 3, 6, 7, 0, 8]|[1, 5, 2, 4, 3, 6, 7, 8, 0]|[1, 5, 2, 4, 3, 0, 7, 8, 6]|[1, 5, 2, 4, 0, 3, 7, 8, 6]|[1, 0, 2, 4, 5, 3, 7, 8, 6]|[1, 2, 0, 4, 5, 3, 7, 8, 6]|[1, 2, 3, 4, 5, 0, 7, 8, 6]|[1, 2, 3, 4, 5, 6, 7, 8, 0]",24,59,656,392
Parte3,A4,C4,H2,"[4, 1, 2, 0, 8, 6, 3, 7, 5]","[4, 1, 2, 0, 8, 6, 3, 7, 5]|[4, 1, 2, 3, 8, 6, 0, 7, 5]|[4, 1, 2, 3, 8, 6, 7, 0, 5]|[4, 1, 2, 3, 0, 6, 7, 8, 5]|[4, 1, 2, 0, 3, 6, 7, 8, 5]|[0, 1, 2, 4, 3, 6, 7, 8, 5]|[1, 0, 2, 4, 3, 6, 7, 8, 5]|[1, 2, 0, 4, 3, 6, 7, 8, 5]|[1, 2, 6, 4, 3, 0, 7, 8, 5]|[1, 2, 6, 4, 3, 5, 7, 8, 0]|[1, 2, 6, 4, 3, 5, 7, 0, 8]|[1, 2, 6, 4, 0, 5, 7, 3, 8]|[1, 2, 6, 4, 5, 0, 7, 3, 8]|[1, 2, 0, 4, 5, 6, 7, 3, 8]|[1, 0, 2, 4, 5, 6, 7, 3, 8]|[1, 5, 2, 4, 0, 6, 7, 3, 8]|[1, 5, 2, 4, 3, 6, 7, 0, 8]|[1, 5, 2, 4, 3, 6, 7, 8, 0]|[1, 5, 2, 4, 3, 0, 7, 8, 6]|[1, 5, 2, 4, 0, 3, 7, 8, 6]|[1, 0, 2, 4, 5, 3, 7, 8, 6]|[1, 2, 0, 4, 5, 3, 7, 8, 6]|[1, 2, 3, 4, 5, 0, 7, 8, 6]|[1, 2, 3, 4, 5, 6, 7, 8, 0]",24,67,656,392
Parte3,A5,C1,H1,"[4, 1, 2, 0, 8, 6, 3, 7, 5]","[4, 1, 2, 0, 8, 6, 3, 7, 5]|[4, 1, 2, 3, 8, 6, 0, 7, 5]|[4, 1, 2, 3, 8, 6, 7, 0, 5]|[4, 1, 2, 3, 0, 6, 7, 8, 5]|[4, 1, 2, 0, 3, 6, 7, 8, 5]|[4, 1, 2, 7, 3, 6, 0, 8, 5]|[4, 1, 2, 7, 3, 6, 8, 0, 5]|[4, 1, 2, 7, 3, 6, 8, 5, 0]|[4, 1, 2, 7, 3, 0, 8, 5, 6]|[4, 1, 2, 7, 0, 3, 8, 5, 6]|[4, 1, 2, 7, 5, 3, 8, 0, 6]|[4, 1, 2, 7, 5, 3, 0, 8, 6]|[4, 1, 2, 0, 5, 3, 7, 8, 6]|[0, 1, 2, 4, 5, 3, 7, 8, 6]|[1, 0, 2, 4, 5, 3, 7, 8, 6]|[1, 2, 0, 4, 5, 3, 7, 8, 6]|[1, 2, 3, 4, 5, 0, 7, 8, 6]|[1, 2, 3, 4, 5, 6, 7, 8, 0]",18,34,1629,1002
Parte3,A5,C1,H2,"[4, 1, 2, 0, 8, 6, 3, 7, 5]","[4, 1, 2, 0, 8, 6, 3, 7, 5]|[4, 1, 2, 3, 8, 6, 0, 7, 5]|[4, 1, 2, 3, 8, 6, 7, 0, 5]|[4, 1, 2, 3, 0, 6, 7, 8, 5]|[4, 1, 2, 0, 3, 6, 7, 8, 5]|[4, 1, 2, 7, 3, 6, 0, 8, 5]|[4, 1, 2, 7, 3, 6, 8, 0, 5]|[4, 1, 2, 7, 3, 6, 8, 5, 0]|[4, 1, 2, 7, 3, 0, 8, 5, 6]|[4, 1, 2, 7, 0, 3, 8, 5, 6]|[4, 1, 2, 7, 5, 3, 8, 0, 6]|[4, 1, 2, 7, 5, 3, 0, 8, 6]|[4, 1, 2, 0, 5, 3, 7, 8, 6]|[0, 1, 2, 4, 5, 3, 7, 8, 6]|[1, 0, 2, 4, 5, 3, 7, 8, 6]|[1, 2, 0, 4, 5, 3, 7, 8, 6]|[1, 2, 3, 4, 5, 0, 7, 8, 6]|[1, 2, 3, 4, 5, 6, 7, 8, 0]",18,34,2082,1301
