Part,Algorithm,CostFunction,Heuristic,InitialState,Path,PathLength,Cost,NodesGenerated,NodesVisited
Parte2,A3,C1,None,"[5, 2, 8, 3, 1, 7, 6, 4, 0]","[5, 2, 8, 3, 1, 7, 6, 4, 0]|[5, 2, 8, 3, 1, 0, 6, 4, 7]|[5, 2, 0, 3, 1, 8, 6, 4, 7]|[5, 0, 2, 3, 1, 8, 6, 4, 7]|[5, 1, 2, 3, 0, 8, 6, 4, 7]|[5, 1, 2, 3, 4, 8, 6, 0, 7]|[5, 1, 2, 3, 4, 8, 0, 6, 7]|[5, 1, 2, 0, 4, 8, 3, 6, 7]|[0, 1, 2, 5, 4, 8, 3, 6, 7]|[1, 0, 2, 5, 4, 8, 3, 6, 7]|[1, 4, 2, 5, 0, 8, 3, 6, 7]|[1, 4, 2, 0, 5, 8, 3, 6, 7]|[1, 4, 2, 3, 5, 8, 0, 6, 7]|[1, 4, 2, 3, 5, 8, 6, 0, 7]|[1, 4, 2, 3, 5, 8, 6, 7, 0]|[1, 4, 2, 3, 5, 0, 6, 7, 8]|[1, 4, 2, 3, 0, 5, 6, 7, 8]|[1, 0, 2, 3, 4, 5, 6, 7, 8]",18,34,24761,16031
Parte2,A5,C1,H1,"[5, 2, 8, 3, 1, 7, 6, 4, 0]","[5, 2, 8, 3, 1, 7, 6, 4, 0]|[5, 2, 8, 3, 1, 0, 6, 4, 7]|[5, 2, 0, 3, 1, 8, 6, 4, 7]|[5, 0, 2, 3, 1, 8, 6, 4, 7]|[5, 1, 2, 3, 0, 8, 6, 4, 7]|[5, 1, 2, 0, 3, 8, 6, 4, 7]|[5, 1, 2, 6, 3, 8, 0, 4, 7]|[5, 1, 2, 6, 3, 8, 4, 0, 7]|[5, 1, 2, 6, 3, 8, 4, 7, 0]|[5, 1, 2, 6, 3, 0, 4, 7, 8]|[5, 1, 2, 6, 0, 3, 4, 7, 8]|[5, 1, 2, 0, 6, 3, 4, 7, 8]|[0, 1, 2, 5, 6, 3, 4, 7, 8]|[1, 0, 2, 5, 6, 3, 4, 7, 8]|[1, 2, 0, 5, 6, 3, 4, 7, 8]|[1, 2, 3, 5, 6, 0, 4, 7, 8]|[1, 2, 3, 5, 0, 6, 4, 7, 8]|[1, 2, 3, 0, 5, 6, 4, 7, 8]|[1, 2, 3, 4, 5, 6, 0, 7, 8]",19,36,4310,2695
Parte2,A5,C1,H2,"[5, 2, 8, 3, 1, 7, 6, 4, 0]","[5, 2, 8, 3, 1, 7, 6, 4, 0]|[5, 2, 8, 3, 1, 0, 6, 4, 7]|[5, 2, 0, 3, 1, 8, 6, 4, 7]|[5, 0, 2, 3, 1, 8, 6, 4, 7]|[5, 1, 2, 3, 0, 8, 6, 4, 7]|[5, 1, 2, 3, 4, 8, 6, 0, 7]|[5, 1, 2, 3, 4, 8, 0, 6, 7]|[5, 1, 2, 0, 4, 8, 3, 6, 7]|[0, 1, 2, 5, 4, 8, 3, 6, 7]|[1, 0, 2, 5, 4, 8, 3, 6, 7]|[1, 4, 2, 5, 0, 8, 3, 6, 7]|[1, 4, 2, 0, 5, 8, 3, 6, 7]|[1, 4, 2, 3, 5, 8, 0, 6, 7]|[1, 4, 2, 3, 5, 8, 6, 0, 7]|[1, 4, 2, 3, 5, 8, 6, 7, 0]|[1, 4, 2, 3, 5, 0, 6, 7, 8]|[1, 4, 2, 3, 0, 5, 6, 7, 8]|[1, 0, 2, 3, 4, 5, 6, 7, 8]",18,34,1138,724
Parte2,A3,C2,None,"[5, 2, 8, 3, 1, 7, 6, 4, 0]","[5, 2, 8, 3, 1, 7, 6, 4, 0]|[5, 2, 8, 3, 1, 0, 6, 4, 7]|[5, 2, 0, 3, 1, 8, 6, 4, 7]|[5, 0, 2, 3, 1, 8, 6, 4, 7]|[5, 1, 2, 3, 0, 8, 6, 4, 7]|[5, 1, 2, 3, 4, 8, 6, 0, 7]|[5, 1, 2, 3, 4, 8, 0, 6, 7]|[5, 1, 2, 0, 4, 8, 3, 6, 7]|[0, 1, 2, 5, 4, 8, 3, 6, 7]|[1, 0, 2, 5, 4, 8, 3, 6, 7]|[1, 4, 2, 5, 0, 8, 3, 6, 7]|[1, 4, 2, 0, 5, 8, 3, 6, 7]|[1, 4, 2, 3, 5, 8, 0, 6, 7]|[1, 4, 2, 3, 5, 8, 6, 0, 7]|[1, 4, 2, 3, 5, 8, 6, 7, 0]|[1, 4, 2, 3, 5, 0, 6, 7, 8]|[1, 4, 2, 3, 0, 5, 6, 7, 8]|[1, 0, 2, 3, 4, 5, 6, 7, 8]",18,41,18893,12400
Parte2,A5,C2,H1,"[5, 2, 8, 3, 1, 7, 6, 4, 0]","[5, 2, 8, 3, 1, 7, 6, 4, 0]|[5, 2, 8, 3, 1, 0, 6, 4, 7]|[5, 2, 0, 3, 1, 8, 6, 4, 7]|[5, 0, 2, 3, 1, 8, 6, 4, 7]|[5, 1, 2, 3, 0, 8, 6, 4, 7]|[5, 1, 2, 0, 3, 8, 6, 4, 7]|[5, 1, 2, 6, 3, 8, 0, 4, 7]|[5, 1, 2, 6, 3, 8, 4, 0, 7]|[5, 1, 2, 6, 3, 8, 4, 7, 0]|[5, 1, 2, 6, 3, 0, 4, 7, 8]|[5, 1, 2, 6, 0, 3, 4, 7, 8]|[5, 1, 2, 0, 6, 3, 4, 7, 8]|[0, 1, 2, 5, 6, 3, 4, 7, 8]|[1, 0, 2, 5, 6, 3, 4, 7, 8]|[1, 2, 0, 5, 6, 3, 4, 7, 8]|[1, 2, 3, 5, 6, 0, 4, 7, 8]|[1, 2, 3, 5, 0, 6, 4, 7, 8]|[1, 2, 3, 0, 5, 6, 4, 7, 8]|[1, 2, 3, 4, 5, 6, 0, 7, 8]",19,46,7490,4890
Parte2,A5,C2,H2,"[5, 2, 8, 3, 1, 7, 6, 4, 0]","[5, 2, 8, 3, 1, 7, 6, 4, 0]|[5, 2, 8, 3, 1, 0, 6, 4, 7]|[5, 2, 0, 3, 1, 8, 6, 4, 7]|[5, 0, 2, 3, 1, 8, 6, 4, 7]|[5, 1, 2, 3, 0, 8, 6, 4, 7]|[5, 1, 2, 3, 4, 8, 6, 0, 7]|[5, 1, 2, 3, 4, 8, 0, 6, 7]|[5, 1, 2, 0, 4, 8, 3, 6, 7]|[0, 1, 2, 5, 4, 8, 3, 6, 7]|[1, 0, 2, 5, 4, 8, 3, 6, 7]|[1, 4, 2, 5, 0, 8, 3, 6, 7]|[1, 4, 2, 0, 5, 8, 3, 6, 7]|[1, 4, 2, 3, 5, 8, 0, 6, 7]|[1, 4, 2, 3, 5, 8, 6, 0, 7]|[1, 4, 2, 3, 5, 8, 6, 7, 0]|[1, 4, 2, 3, 5, 0, 6, 7, 8]|[1, 4, 2, 3, 0, 5, 6, 7, 8]|[1, 0, 2, 3, 4, 5, 6, 7, 8]",18,41,1309,816
Parte2,A3,C3,None,"[5, 2, 8, 3, 1, 7, 6, 4, 0]","[5, 2, 8, 3, 1, 7, 6, 4, 0]|[5, 2, 8, 3, 1, 0, 6, 4, 7]|[5, 2, 0, 3, 1, 8, 6, 4, 7]|[5, 0, 2, 3, 1, 8, 6, 4, 7]|[5, 1, 2, 3, 0, 8, 6, 4, 7]|[5, 1, 2, 3, 4, 8, 6, 0, 7]|[5, 1, 2, 3, 4, 8, 0, 6, 7]|[5, 1, 2, 0, 4, 8, 3, 6, 7]|[0, 1, 2, 5, 4, 8, 3, 6, 7]|[1, 0, 2, 5, 4, 8, 3, 6, 7]|[1, 4, 2, 5, 0, 8, 3, 6, 7]|[1, 4, 2, 0, 5, 8, 3, 6, 7]|[1, 4, 2, 3, 5, 8, 0, 6, 7]|[1, 4, 2, 3, 5, 8, 6, 0, 7]|[1, 4, 2, 3, 5, 8, 6, 7, 0]|[1, 4, 2, 3, 5, 0, 6, 7, 8]|[1, 4, 2, 3, 0, 5, 6, 7, 8]|[1, 0, 2, 3, 4, 5, 6, 7, 8]",18,44,26852,17181
Parte2,A5,C3,H1,"[5, 2, 8, 3, 1, 7, 6, 4, 0]","[5, 2, 8, 3, 1, 7, 6, 4, 0]|[5, 2, 8, 3, 1, 0, 6, 4, 7]|[5, 2, 0, 3, 1, 8, 6, 4, 7]|[5, 0, 2, 3, 1, 8, 6, 4, 7]|[5, 1, 2, 3, 0, 8, 6, 4, 7]|[5, 1, 2, 0, 3, 8, 6, 4, 7]|[5, 1, 2, 6, 3, 8, 0, 4, 7]|[5, 1, 2, 6, 3, 8, 4, 0, 7]|[5, 1, 2, 6, 3, 8, 4, 7, 0]|[5, 1, 2, 6, 3, 0, 4, 7, 8]|[5, 1, 2, 6, 0, 3, 4, 7, 8]|[5, 1, 2, 0, 6, 3, 4, 7, 8]|[0, 1, 2, 5, 6, 3, 4, 7, 8]|[1, 0, 2, 5, 6, 3, 4, 7, 8]|[1, 2, 0, 5, 6, 3, 4, 7, 8]|[1, 2, 3, 5, 6, 0, 4, 7, 8]|[1, 2, 3, 5, 0, 6, 4, 7, 8]|[1, 2, 3, 0, 5, 6, 4, 7, 8]|[1, 2, 3, 4, 5, 6, 0, 7, 8]",19,44,5197,3334
Parte2,A5,C3,H2,"[5, 2, 8, 3, 1, 7, 6, 4, 0]","[5, 2, 8, 3, 1, 7, 6, 4, 0]|[5, 2, 8, 3, 1, 0, 6, 4, 7]|[5, 2, 0, 3, 1, 8, 6, 4, 7]|[5, 0, 2, 3, 1, 8, 6, 4, 7]|[5, 1, 2, 3, 0, 8, 6, 4, 7]|[5, 1, 2, 3, 4, 8, 6, 0, 7]|[5, 1, 2, 3, 4, 8, 0, 6, 7]|[5, 1, 2, 0, 4, 8, 3, 6, 7]|[0, 1, 2, 5, 4, 8, 3, 6, 7]|[1, 0, 2, 5, 4, 8, 3, 6, 7]|[1, 4, 2, 5, 0, 8, 3, 6, 7]|[1, 4, 2, 0, 5, 8, 3, 6, 7]|[1, 4, 2, 3, 5, 8, 0, 6, 7]|[1, 4, 2, 3, 5, 8, 6, 0, 7]|[1, 4, 2, 3, 5, 8, 6, 7, 0]|[1, 4, 2, 3, 5, 0, 6, 7, 8]|[1, 4, 2, 3, 0, 5, 6, 7, 8]|[1, 0, 2, 3, 4, 5, 6, 7, 8]",18,44,2393,1544
Parte2,A3,C4,None,"[5, 2, 8, 3, 1, 7, 6, 4, 0]","[5, 2, 8, 3, 1, 7, 6, 4, 0]|[5, 2, 8, 3, 1, 0, 6, 4, 7]|[5, 2, 0, 3, 1, 8, 6, 4, 7]|[5, 0, 2, 3, 1, 8, 6, 4, 7]|[5, 1, 2, 3, 0, 8, 6, 4, 7]|[5, 1, 2, 3, 4, 8, 6, 0, 7]|[5, 1, 2, 3, 4, 8, 0, 6, 7]|[5, 1, 2, 0, 4, 8, 3, 6, 7]|[0, 1, 2, 5, 4, 8, 3, 6, 7]|[1, 0, 2, 5, 4, 8, 3, 6, 7]|[1, 4, 2, 5, 0, 8, 3, 6, 7]|[1, 4, 2, 0, 5, 8, 3, 6, 7]|[1, 4, 2, 3, 5, 8, 0, 6, 7]|[1, 4, 2, 3, 5, 8, 6, 0, 7]|[1, 4, 2, 3, 5, 8, 6, 7, 0]|[1, 4, 2, 3, 5, 0, 6, 7, 8]|[1, 4, 2, 3, 0, 5, 6, 7, 8]|[1, 0, 2, 3, 4, 5, 6, 7, 8]",18,49,19938,13170
